"","year","STATE","TOT_EMP","H_MEAN","A_MEAN","SELF_EMP","ALL_EMP"
"1",2004,"Alabama",50,9.04,18800,68,118
"2",2004,"Arizona",40,12.19,25350,55,95
"3",2004,"California",280,19.1,39730,384,664
"4",2004,"Florida",120,12.86,26750,164,284
"5",2004,"Georgia",190,15.42,32080,260,450
"6",2004,"Idaho",30,14.28,29700,41,71
"7",2004,"Illinois",190,10.2,21210,260,450
"8",2004,"Indiana",40,11.1,23090,55,95
"9",2004,"Kansas",40,12.26,25500,55,95
"10",2004,"Kentucky",NA,8.16,16970,NA,NA
"11",2004,"Maine",30,9.69,20150,41,71
"12",2004,"Maryland",70,17.08,35530,96,166
"13",2004,"Massachusetts",40,12.3,25590,55,95
"14",2004,"Michigan",50,14.65,30470,68,118
"15",2004,"Minnesota",110,14.9,30990,151,261
"16",2004,"Mississippi",30,11.85,24640,41,71
"17",2004,"Missouri",150,10.86,22580,205,355
"18",2004,"New Hampshire",30,15.26,31730,41,71
"19",2004,"New Jersey",70,17.27,35920,96,166
"20",2004,"New York",340,17.55,36490,466,806
"21",2004,"North Carolina",60,14.76,30710,82,142
"22",2004,"Ohio",370,9.86,20500,507,877
"23",2004,"Oklahoma",30,10.5,21830,41,71
"24",2004,"Oregon",70,10.2,21220,96,166
"25",2004,"Rhode Island",40,12.96,26960,55,95
"26",2004,"South Carolina",60,13.46,28000,82,142
"27",2004,"Tennessee",NA,11.5,23920,NA,NA
"28",2004,"Texas",180,13.44,27960,247,427
"29",2004,"Utah",60,11.84,24620,82,142
"30",2004,"Virginia",60,14.48,30120,82,142
"31",2004,"Wisconsin",100,14.79,30770,137,237
"32",2004,"Wyoming",40,10.43,21690,55,95
"33",2005,"Alabama",140,7.64,15890,192,332
"34",2005,"Arizona",NA,12.67,26350,NA,NA
"35",2005,"California",230,20.99,43670,315,545
"36",2005,"Colorado",160,11.77,24490,219,379
"37",2005,"Florida",NA,10.21,21240,NA,NA
"38",2005,"Georgia",150,15.03,31250,205,355
"39",2005,"Idaho",30,12.34,25660,41,71
"40",2005,"Indiana",NA,8.35,17360,NA,NA
"41",2005,"Maine",40,9.86,20510,55,95
"42",2005,"Maryland",NA,20.28,42180,NA,NA
"43",2005,"Massachusetts",140,12.59,26190,192,332
"44",2005,"Minnesota",80,18.28,38010,110,190
"45",2005,"Missouri",130,11.91,24780,178,308
"46",2005,"New Jersey",40,18.1,37640,55,95
"47",2005,"New Mexico",90,8.98,18670,123,213
"48",2005,"New York",420,NA,NA,575,995
"49",2005,"North Carolina",230,9.73,20240,315,545
"50",2005,"Ohio",130,9.66,20080,178,308
"51",2005,"Oklahoma",30,9.66,20100,41,71
"52",2005,"Oregon",90,10.57,21990,123,213
"53",2005,"Pennsylvania",370,11.38,23670,507,877
"54",2005,"South Carolina",50,14.66,30480,68,118
"55",2005,"Texas",320,11.95,24850,438,758
"56",2005,"Utah",50,12.04,25040,68,118
"57",2005,"Washington",70,13.8,28700,96,166
"58",2005,"Wisconsin",100,16.11,33510,137,237
"59",2005,"Wyoming",40,10.38,21600,55,95
"60",2006,"Alabama",170,10.12,21040,233,403
"61",2006,"Arkansas",NA,8.92,18540,NA,NA
"62",2006,"California",440,18.42,38320,603,1043
"63",2006,"Colorado",230,10.67,22180,315,545
"64",2006,"Florida",60,11.97,24900,82,142
"65",2006,"Georgia",150,16.16,33610,205,355
"66",2006,"Illinois",60,16.94,35230,82,142
"67",2006,"Indiana",50,11.99,24940,68,118
"68",2006,"Kentucky",NA,8.42,17520,NA,NA
"69",2006,"Maine",40,10.43,21700,55,95
"70",2006,"Massachusetts",190,15.32,31860,260,450
"71",2006,"Michigan",270,9.63,20030,370,640
"72",2006,"Minnesota",NA,20.14,41900,NA,NA
"73",2006,"Missouri",NA,21.05,43790,NA,NA
"74",2006,"Montana",80,14.57,30310,110,190
"75",2006,"Nebraska",NA,11.32,23550,NA,NA
"76",2006,"New Jersey",60,17.34,36060,82,142
"77",2006,"New Mexico",NA,9.39,19520,NA,NA
"78",2006,"New York",NA,18.33,38130,NA,NA
"79",2006,"North Carolina",230,10.9,22670,315,545
"80",2006,"Ohio",140,9.73,20250,192,332
"81",2006,"Oklahoma",30,11.63,24190,41,71
"82",2006,"Oregon",80,11.07,23030,110,190
"83",2006,"Pennsylvania",410,11.63,24190,562,972
"84",2006,"South Carolina",50,11.03,22950,68,118
"85",2006,"South Dakota",40,11.68,24290,55,95
"86",2006,"Texas",240,11.72,24380,329,569
"87",2006,"Utah",60,12.95,26940,82,142
"88",2006,"Virginia",150,14.77,30720,205,355
"89",2006,"Washington",50,13.83,28770,68,118
"90",2006,"Wisconsin",170,11.94,24840,233,403
"91",2006,"Wyoming",40,12.7,26420,55,95
"92",2007,"Alabama",110,10.7,22260,151,261
"93",2007,"Arizona",NA,14.19,29510,NA,NA
"94",2007,"Arkansas",NA,8.66,18010,NA,NA
"95",2007,"California",550,18.21,37870,753,1303
"96",2007,"Colorado",310,11.77,24480,425,735
"97",2007,"Connecticut",NA,19.1,39740,NA,NA
"98",2007,"Florida",110,12.88,26780,151,261
"99",2007,"Georgia",100,14.35,29850,137,237
"100",2007,"Illinois",50,18.95,39410,68,118
"101",2007,"Indiana",100,14.29,29730,137,237
"102",2007,"Maine",60,13.35,27770,82,142
"103",2007,"Massachusetts",250,19.45,40450,342,592
"104",2007,"Michigan",400,10.25,21330,548,948
"105",2007,"Missouri",140,21.88,45510,192,332
"106",2007,"Montana",90,11.74,24410,123,213
"107",2007,"New Mexico",NA,9.33,19410,NA,NA
"108",2007,"New York",530,18.89,39300,726,1256
"109",2007,"North Carolina",270,11.92,24790,370,640
"110",2007,"Ohio",230,10.93,22740,315,545
"111",2007,"Oregon",50,12.75,26520,68,118
"112",2007,"Pennsylvania",350,11.74,24420,479,829
"113",2007,"South Carolina",NA,11.6,24130,NA,NA
"114",2007,"South Dakota",30,12.39,25780,41,71
"115",2007,"Tennessee",230,16.17,33630,315,545
"116",2007,"Texas",320,10.98,22830,438,758
"117",2007,"Utah",40,12.4,25790,55,95
"118",2007,"Washington",130,14.8,30780,178,308
"119",2007,"Wisconsin",130,13.3,27650,178,308
"120",2007,"Wyoming",40,13.32,27700,55,95
"121",2008,"Alabama",90,15.21,31630,123,213
"122",2008,"Alaska",40,15.47,32170,55,95
"123",2008,"Arizona",80,14.71,30600,110,190
"124",2008,"California",610,18.71,38910,835,1445
"125",2008,"Colorado",220,14.3,29740,301,521
"126",2008,"Connecticut",NA,19.43,40410,NA,NA
"127",2008,"Florida",160,12.86,26740,219,379
"128",2008,"Georgia",190,11.2,23290,260,450
"129",2008,"Hawaii",70,18.21,37870,96,166
"130",2008,"Illinois",NA,16.12,33520,NA,NA
"131",2008,"Indiana",110,13.94,29000,151,261
"132",2008,"Iowa",30,11.77,24480,41,71
"133",2008,"Kansas",NA,15.62,32480,NA,NA
"134",2008,"Maine",70,14.07,29280,96,166
"135",2008,"Massachusetts",170,21.79,45320,233,403
"136",2008,"Michigan",240,12.09,25140,329,569
"137",2008,"Minnesota",70,16.42,34150,96,166
"138",2008,"Missouri",130,22.29,46370,178,308
"139",2008,"Montana",120,11.93,24820,164,284
"140",2008,"Nevada",NA,16.57,34470,NA,NA
"141",2008,"New Jersey",NA,29.42,61200,NA,NA
"142",2008,"New York",550,17.72,36850,753,1303
"143",2008,"North Carolina",190,12.76,26530,260,450
"144",2008,"North Dakota",50,14.41,29970,68,118
"145",2008,"Ohio",240,11.75,24430,329,569
"146",2008,"Oregon",60,13,27040,82,142
"147",2008,"Pennsylvania",210,13.5,28070,288,498
"148",2008,"South Carolina",30,15.36,31950,41,71
"149",2008,"Tennessee",220,16.53,34370,301,521
"150",2008,"Texas",490,17.09,35540,671,1161
"151",2008,"Washington",150,14.58,30330,205,355
"152",2008,"West Virginia",40,8.37,17410,55,95
"153",2008,"Wisconsin",120,12,24970,164,284
"154",2008,"Wyoming",90,12.04,25040,123,213
"155",2008,"Puerto Rico",NA,7.07,14710,NA,NA
"156",2009,"Alabama",80,11.23,23350,110,190
"157",2009,"Arizona",80,14.19,29520,110,190
"158",2009,"California",540,23.4,48670,740,1280
"159",2009,"Colorado",180,15.77,32790,247,427
"160",2009,"Connecticut",NA,20.72,43110,NA,NA
"161",2009,"Florida",230,12.01,24980,315,545
"162",2009,"Georgia",200,12.13,25230,274,474
"163",2009,"Hawaii",50,20.15,41910,68,118
"164",2009,"Illinois",NA,16.79,34910,NA,NA
"165",2009,"Indiana",160,15.39,32000,219,379
"166",2009,"Iowa",40,13.54,28170,55,95
"167",2009,"Kansas",NA,17.12,35610,NA,NA
"168",2009,"Louisiana",NA,18.12,37680,NA,NA
"169",2009,"Maine",60,14.29,29730,82,142
"170",2009,"Maryland",40,12.4,25790,55,95
"171",2009,"Massachusetts",180,20.33,42290,247,427
"172",2009,"Michigan",220,12.68,26380,301,521
"173",2009,"Minnesota",80,15.87,33020,110,190
"174",2009,"Mississippi",60,11.94,24830,82,142
"175",2009,"Missouri",110,NA,NA,151,261
"176",2009,"Montana",90,11.99,24940,123,213
"177",2009,"Nevada",90,17.03,35420,123,213
"178",2009,"New Jersey",NA,27.73,57670,NA,NA
"179",2009,"New York",610,16.07,33430,835,1445
"180",2009,"North Carolina",140,12.89,26810,192,332
"181",2009,"North Dakota",40,15.77,32810,55,95
"182",2009,"Ohio",260,12.68,26380,356,616
"183",2009,"Oregon",60,13.87,28840,82,142
"184",2009,"Pennsylvania",240,13.75,28590,329,569
"185",2009,"Tennessee",140,20.77,43210,192,332
"186",2009,"Texas",380,18.12,37680,520,900
"187",2009,"Utah",40,12.41,25820,55,95
"188",2009,"Washington",160,15.25,31730,219,379
"189",2009,"West Virginia",60,9.32,19370,82,142
"190",2009,"Wisconsin",60,14.01,29130,82,142
"191",2009,"Wyoming",60,13.41,27900,82,142
"192",2010,"Alabama",130,11.62,NA,178,308
"193",2010,"Arizona",100,14.56,NA,137,237
"194",2010,"California",420,25.43,NA,575,995
"195",2010,"Colorado",90,17.74,NA,123,213
"196",2010,"Florida",230,10.9,NA,315,545
"197",2010,"Georgia",250,14.08,NA,342,592
"198",2010,"Hawaii",40,22.11,NA,55,95
"199",2010,"Illinois",NA,17.75,NA,NA,NA
"200",2010,"Indiana",60,16.56,NA,82,142
"201",2010,"Iowa",NA,12.14,NA,NA,NA
"202",2010,"Kansas",NA,15.74,NA,NA,NA
"203",2010,"Maine",80,14.31,NA,110,190
"204",2010,"Maryland",NA,14,NA,NA,NA
"205",2010,"Massachusetts",80,15.43,NA,110,190
"206",2010,"Michigan",200,13.08,NA,274,474
"207",2010,"Minnesota",90,16.64,NA,123,213
"208",2010,"Mississippi",90,12.47,NA,123,213
"209",2010,"Missouri",140,11.39,NA,192,332
"210",2010,"Montana",60,12.06,NA,82,142
"211",2010,"Nevada",170,17.53,NA,233,403
"212",2010,"New Jersey",100,22.52,NA,137,237
"213",2010,"New York",380,16.21,NA,520,900
"214",2010,"North Carolina",140,13.45,NA,192,332
"215",2010,"Ohio",150,14.22,NA,205,355
"216",2010,"Oklahoma",NA,10.3,NA,NA,NA
"217",2010,"Oregon",40,14.93,NA,55,95
"218",2010,"Pennsylvania",NA,11.04,NA,NA,NA
"219",2010,"South Carolina",30,14.79,NA,41,71
"220",2010,"Tennessee",NA,10.79,NA,NA,NA
"221",2010,"Texas",400,16.87,NA,548,948
"222",2010,"Utah",50,14.42,NA,68,118
"223",2010,"Virginia",80,10.81,NA,110,190
"224",2010,"Washington",60,14.5,NA,82,142
"225",2010,"West Virginia",NA,10.22,NA,NA,NA
"226",2010,"Wisconsin",70,13.89,NA,96,166
"227",2010,"Wyoming",40,12.25,NA,55,95
"228",2011,"Alabama",160,11.04,NA,219,379
"229",2011,"Arizona",40,13.55,NA,55,95
"230",2011,"California",500,26.81,NA,685,1185
"231",2011,"Colorado",80,15.5,NA,110,190
"232",2011,"Connecticut",30,17.04,NA,41,71
"233",2011,"Florida",350,11.35,NA,479,829
"234",2011,"Georgia",200,16.09,NA,274,474
"235",2011,"Illinois",160,19.28,NA,219,379
"236",2011,"Indiana",80,17.15,NA,110,190
"237",2011,"Iowa",80,11.95,NA,110,190
"238",2011,"Kentucky",40,14.63,NA,55,95
"239",2011,"Maine",70,13.14,NA,96,166
"240",2011,"Maryland",NA,14.05,NA,NA,NA
"241",2011,"Massachusetts",90,14.62,NA,123,213
"242",2011,"Michigan",200,14.35,NA,274,474
"243",2011,"Minnesota",40,14.68,NA,55,95
"244",2011,"Mississippi",70,13.26,NA,96,166
"245",2011,"Missouri",150,11.16,NA,205,355
"246",2011,"Montana",40,11.58,NA,55,95
"247",2011,"Nevada",160,18.13,NA,219,379
"248",2011,"New Mexico",40,12.11,NA,55,95
"249",2011,"New York",260,16.6,NA,356,616
"250",2011,"North Carolina",140,12.31,NA,192,332
"251",2011,"Ohio",130,15.06,NA,178,308
"252",2011,"Oklahoma",NA,10.97,NA,NA,NA
"253",2011,"Oregon",NA,15.43,NA,NA,NA
"254",2011,"Pennsylvania",310,11.28,NA,425,735
"255",2011,"South Carolina",NA,13.55,NA,NA,NA
"256",2011,"Tennessee",80,NA,NA,110,190
"257",2011,"Texas",300,12.98,NA,411,711
"258",2011,"Utah",90,15.16,NA,123,213
"259",2011,"Virginia",70,12.67,NA,96,166
"260",2011,"Washington",110,16.23,NA,151,261
"261",2011,"West Virginia",NA,11.39,NA,NA,NA
"262",2011,"Wisconsin",70,13.18,NA,96,166
"263",2011,"Wyoming",40,15.22,NA,55,95
"264",2012,"Alabama",140,11.99,NA,192,332
"265",2012,"Alaska",40,18.86,NA,55,95
"266",2012,"Arizona",80,15.96,NA,110,190
"267",2012,"California",640,26.53,NA,877,1517
"268",2012,"Colorado",80,20.23,NA,110,190
"269",2012,"Connecticut",40,17.28,NA,55,95
"270",2012,"Florida",310,14.6,NA,425,735
"271",2012,"Georgia",140,16.54,NA,192,332
"272",2012,"Illinois",250,20.69,NA,342,592
"273",2012,"Indiana",40,13.09,NA,55,95
"274",2012,"Iowa",70,11.36,NA,96,166
"275",2012,"Kansas",40,12.17,NA,55,95
"276",2012,"Kentucky",40,13.43,NA,55,95
"277",2012,"Maine",70,13.59,NA,96,166
"278",2012,"Massachusetts",130,18.59,NA,178,308
"279",2012,"Michigan",190,14.14,NA,260,450
"280",2012,"Minnesota",50,19.71,NA,68,118
"281",2012,"Mississippi",50,13.4,NA,68,118
"282",2012,"Missouri",110,12.41,NA,151,261
"283",2012,"Montana",30,11.64,NA,41,71
"284",2012,"Nebraska",30,14.78,NA,41,71
"285",2012,"Nevada",170,18.98,NA,233,403
"286",2012,"New Jersey",NA,17.26,NA,NA,NA
"287",2012,"New Mexico",30,12.23,NA,41,71
"288",2012,"New York",80,20.02,NA,110,190
"289",2012,"North Carolina",170,12.38,NA,233,403
"290",2012,"Ohio",150,14.53,NA,205,355
"291",2012,"Pennsylvania",230,12.78,NA,315,545
"292",2012,"South Dakota",40,15.76,NA,55,95
"293",2012,"Tennessee",NA,19.76,NA,NA,NA
"294",2012,"Texas",340,13.34,NA,466,806
"295",2012,"Utah",110,14.56,NA,151,261
"296",2012,"Virginia",120,14.19,NA,164,284
"297",2012,"Washington",180,17.31,NA,247,427
"298",2012,"Wisconsin",110,13.98,NA,151,261
"299",2012,"Wyoming",60,15.33,NA,82,142
"300",2013,"Alabama",120,12.83,NA,164,284
"301",2013,"Alaska",30,19.42,NA,41,71
"302",2013,"Arizona",80,16.57,NA,110,190
"303",2013,"California",640,25.16,NA,877,1517
"304",2013,"Colorado",70,18.93,NA,96,166
"305",2013,"Connecticut",50,17.47,NA,68,118
"306",2013,"Florida",310,13.54,NA,425,735
"307",2013,"Georgia",110,14.58,NA,151,261
"308",2013,"Illinois",310,20.51,NA,425,735
"309",2013,"Indiana",60,14.06,NA,82,142
"310",2013,"Kentucky",40,12.6,NA,55,95
"311",2013,"Maine",60,11.33,NA,82,142
"312",2013,"Massachusetts",130,19.27,NA,178,308
"313",2013,"Michigan",220,14.95,NA,301,521
"314",2013,"Minnesota",80,22.12,NA,110,190
"315",2013,"Missouri",50,12.57,NA,68,118
"316",2013,"Nevada",160,17.74,NA,219,379
"317",2013,"New Jersey",50,20.83,NA,68,118
"318",2013,"New Mexico",40,12.16,NA,55,95
"319",2013,"New York",220,21.79,NA,301,521
"320",2013,"North Carolina",120,14.46,NA,164,284
"321",2013,"Ohio",300,13.41,NA,411,711
"322",2013,"Oregon",50,NA,NA,68,118
"323",2013,"Pennsylvania",80,13.77,NA,110,190
"324",2013,"South Dakota",50,16.37,NA,68,118
"325",2013,"Tennessee",150,19.49,NA,205,355
"326",2013,"Texas",330,13.45,NA,452,782
"327",2013,"Utah",120,13.9,NA,164,284
"328",2013,"Virginia",80,15.66,NA,110,190
"329",2013,"Washington",140,18.29,NA,192,332
"330",2013,"Wisconsin",90,16.37,NA,123,213
"331",2013,"Wyoming",50,16.71,NA,68,118
"332",2014,"Alabama",100,12.52,NA,137,237
"333",2014,"Alaska",40,19.72,NA,55,95
"334",2014,"Arizona",60,17.58,NA,82,142
"335",2014,"California",480,24.68,NA,657,1137
"336",2014,"Colorado",100,16.95,NA,137,237
"337",2014,"Florida",160,16.09,NA,219,379
"338",2014,"Georgia",80,15.77,NA,110,190
"339",2014,"Illinois",420,21.28,NA,575,995
"340",2014,"Indiana",90,14.4,NA,123,213
"341",2014,"Iowa",30,14.18,NA,41,71
"342",2014,"Kansas",NA,14.41,NA,NA,NA
"343",2014,"Maine",40,9.78,NA,55,95
"344",2014,"Massachusetts",160,18.63,NA,219,379
"345",2014,"Michigan",140,16.47,NA,192,332
"346",2014,"Minnesota",90,21.25,NA,123,213
"347",2014,"Missouri",60,13.86,NA,82,142
"348",2014,"Nevada",NA,16.08,NA,NA,NA
"349",2014,"New Hampshire",40,12.6,NA,55,95
"350",2014,"New Jersey",NA,16.72,NA,NA,NA
"351",2014,"New Mexico",30,13.05,NA,41,71
"352",2014,"New York",330,21.02,NA,452,782
"353",2014,"North Carolina",160,16.29,NA,219,379
"354",2014,"North Dakota",30,10.36,NA,41,71
"355",2014,"Ohio",340,13.62,NA,466,806
"356",2014,"Oklahoma",60,11.95,NA,82,142
"357",2014,"Oregon",70,NA,NA,96,166
"358",2014,"Pennsylvania",70,16.98,NA,96,166
"359",2014,"South Carolina",30,12.2,NA,41,71
"360",2014,"South Dakota",40,13.86,NA,55,95
"361",2014,"Tennessee",160,16.6,NA,219,379
"362",2014,"Texas",460,14.11,NA,630,1090
"363",2014,"Utah",90,13.76,NA,123,213
"364",2014,"Vermont",30,14.53,NA,41,71
"365",2014,"Virginia",60,14.42,NA,82,142
"366",2014,"Wisconsin",110,15.5,NA,151,261
"367",2014,"Wyoming",60,14.57,NA,82,142
